Type,Level 1 Code,Level 1 Name,Level 2 Code,Level 2 Name,Level 3 Code,Level 3 Name,Level 4 Code,Level 4 Name
Building,A,SUBSTRUCTURE,A10,Foundations,A1010,Standard Foundations,A1011,Wall Foundations
Building,A,SUBSTRUCTURE,A10,Foundations,A1010,Standard Foundations,A1012,Column Foundations & Pile Caps
Building,A,SUBSTRUCTURE,A10,Foundations,A1010,Standard Foundations,A1013,Perimeter Drainage & Insulation
Building,A,SUBSTRUCTURE,A10,Foundations,A1020,Special Foundations,A1021,Pile Foundations
Building,A,SUBSTRUCTURE,A10,Foundations,A1020,Special Foundations,A1022,Grade Beams
Building,A,SUBSTRUCTURE,A10,Foundations,A1020,Special Foundations,A1023,Caissons
Building,A,SUBSTRUCTURE,A10,Foundations,A1020,Special Foundations,A1024,Underprinting
Building,A,SUBSTRUCTURE,A10,Foundations,A1020,Special Foundations,A1025,Dewatering
Building,A,SUBSTRUCTURE,A10,Foundations,A1020,Special Foundations,A1026,Raft Foundations
Building,A,SUBSTRUCTURE,A10,Foundations,A1020,Special Foundations,A1027,Pressure Injected Grouting
Building,A,SUBSTRUCTURE,A10,Foundations,A1020,Special Foundations,A1029,Other Special Conditions
Building,A,SUBSTRUCTURE,A10,Foundations,A1030,Slab on Grade,A1031,Standard Slab on Grade
Building,A,SUBSTRUCTURE,A10,Foundations,A1030,Slab on Grade,A1032,Structural Slab on Grade
Building,A,SUBSTRUCTURE,A10,Foundations,A1030,Slab on Grade,A1033,Inclined Slab on Grade
Building,A,SUBSTRUCTURE,A10,Foundations,A1030,Slab on Grade,A1034,"Trenches, Pits & Bases"
Building,A,SUBSTRUCTURE,A10,Foundations,A1030,Slab on Grade,A1035,Under-Slab Drainage & Insulation
Building,A,SUBSTRUCTURE,A20,Basement Construction,A2010,Basement Excavation,A2011,Excavation for Basements
Building,A,SUBSTRUCTURE,A20,Basement Construction,A2010,Basement Excavation,A2012,Structure Back Fill & Compaction
Building,A,SUBSTRUCTURE,A20,Basement Construction,A2010,Basement Excavation,A2013,Shoring
Building,A,SUBSTRUCTURE,A20,Basement Construction,A2020,Basement Walls,A2021,Basement Wall Construction
Building,A,SUBSTRUCTURE,A20,Basement Construction,A2020,Basement Walls,A2022,Moisture Protection
Building,A,SUBSTRUCTURE,A20,Basement Construction,A2020,Basement Walls,A2023,Basement Wall Insulation
Building,A,SUBSTRUCTURE,A20,Basement Construction,A2020,Basement Walls,A2024,Interior Skin
Building,B,SHELL,B10,Superstructure,B1010,Floor Construction,B1011,Suspended Basement Floors Construction
Building,B,SHELL,B10,Superstructure,B1010,Floor Construction,B1012,Upper Floors Construction
Building,B,SHELL,B10,Superstructure,B1010,Floor Construction,B1013,Balcony Floors Construction
Building,B,SHELL,B10,Superstructure,B1010,Floor Construction,B1014,Ramps
Building,B,SHELL,B10,Superstructure,B1010,Floor Construction,B1015,Exterior Stairs and Fire Escapes
Building,B,SHELL,B10,Superstructure,B1010,Floor Construction,B1016,Floor Raceway Systems
Building,B,SHELL,B10,Superstructure,B1010,Floor Construction,B1019,Other Floor Construction
Building,B,SHELL,B10,Superstructure,B1020,Roof Construction,B1021,Flat Roof Construction
Building,B,SHELL,B10,Superstructure,B1020,Roof Construction,B1022,Pitched Roof Construction
Building,B,SHELL,B10,Superstructure,B1020,Roof Construction,B1023,Canopies
Building,B,SHELL,B10,Superstructure,B1020,Roof Construction,B1029,Other Roof Systems
Building,B,SHELL,B20,Exterior Enclosure,B2010,Exterior Walls,B2011,Exterior Wall Construction
